id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,zipcode
39387811,The Davidson Hotel-Suite 302,293748928,Stephanie,,Ramsey,44.94232,-93.1128,Private room,379,1,21,2022-07-04,0.67,8,0,2,Twin Cities MSA,55102.0
42787802,Pet-friendly suite near lakes with games and sauna,296301988,Jennifer,,Hennepin,44.92240905761719,-93.28677368164062,Entire home/apt,74,1,10,2023-03-16,2.38,1,266,10,Twin Cities MSA,55409.0
46235244,Lakefront Paradise on Independence,374431117,Angela,,Hennepin,45.0299,-93.63996,Entire home/apt,190,2,56,2022-12-21,2.06,1,9,17,Twin Cities MSA,55323.0
49513089,"Downtown Quaint; simple , cozy,  micro-studio",57655643,Chris,,Hennepin,44.97137451171875,-93.26481628417967,Entire home/apt,72,2,94,2023-03-11,4.3,16,141,59,Twin Cities MSA,55404.0
51773023,A cheerful 1-bedroom and 1 bath residential unit.,363313792,Eric,,Ramsey,45.06316,-93.00131,Entire home/apt,125,1,36,2023-02-09,1.91,1,322,18,Twin Cities MSA,55110.0
53179396,Comfy and Cozy - White Bear Lake,430501299,Van,,Washington,45.06222,-92.97801,Private room,60,1,0,,,1,365,0,Twin Cities MSA,55110.0
564366946662627194,NEW! 1-Bedroom Beach House on Snowmobile Trail!,151396544,Evolve,,Chisago,45.39041,-92.81643,Entire home/apt,119,2,3,2022-09-25,0.36,29,259,3,Twin Cities MSA,55012.0
627544384278724641,St. Paul Cabana- Sleeps 6!,134108184,Justin,,Ramsey,44.92328,-93.07303,Entire home/apt,149,2,4,2023-02-24,0.53,3,313,4,Twin Cities MSA,55107.0
674741051504670303,Upper Floor Living at its Finest,440572077,Chad,,Washington,44.8321174,-92.917615,Private room,38,1,13,2023-01-12,1.67,1,52,13,Twin Cities MSA,55016.0
714657251637718261,Lake Cottage w/80 ft of lake shore! Spacious home,351430180,Lynn,,Wright,45.18741199999999,-94.101406,Entire home/apt,200,2,1,2023-03-04,1.0,1,304,1,Twin Cities MSA,55302.0
745663125364721685,Comfortable 4-Bedroom Home Close to Everthing,17310517,Josh,,Dakota,44.89661,-93.09322,Entire home/apt,155,2,4,2023-01-29,0.92,1,257,4,Twin Cities MSA,55118.0
